Ticker,Decision,Predicted_EV,Actual_Return,Win,Wallet_Before,Wallet_After
BC,Buy,2.2073,-1.18333,0,100,99.7042
EXFY,Buy,3.12364,2.66667,1,99.7042,100.369
RDI,Short,-3.40076,3.895,0,100.369,99.3915
PNNT,Short,-0.986257,2.83435,0,99.3915,98.6872
FLR,Skip,-0.436449,-3.94617,0,98.6872,98.6872
EDN,Short,-10.3235,8.00582,0,98.6872,96.7121
MRNA,Short,-0.771401,18.4726,0,96.7121,92.2457
ELA,Buy,3.97009,-7.74566,0,92.2457,90.4595
TKNO,Buy,16.8351,-10.6796,0,90.4595,88.0443
ESEA,Short,-2.76162,-5.33333,1,88.0443,89.2182
JFU,Short,-4.64144,-6.69975,1,89.2182,90.7126
MCY,Short,-0.730264,0.591497,0,90.7126,90.5784
PRM,Buy,4.86838,3.28998,1,90.5784,91.3234
AISP,Buy,7.15056,-16.9355,0,91.3234,87.4569
WLKP,Skip,0.0871315,-1.14626,0,87.4569,87.4569
ALLY,Short,-1.74394,6.37681,0,87.4569,86.0627
GECC,Short,-1.70647,1.38593,0,86.0627,85.7645
CCBG,Skip,0.00990621,0.895208,0,85.7645,85.7645
OPOF,Buy,1.04676,0.530504,1,85.7645,85.8782
CMCT,Skip,0.119711,0.115075,0,85.8782,85.8782
CACI,Buy,3.52027,6.96006,1,85.8782,87.3725
BWFG,Short,-1.07962,0,0,87.3725,87.3725
PHUN,Short,-5.28601,-6.37584,1,87.3725,88.7652
CLSK,Short,-6.75873,-28.5714,1,88.7652,95.1056
LYFT,Short,-2.59477,1.388,0,95.1056,94.7756
TEVA,Skip,0.334297,4.19977,0,94.7756,94.7756
IDT,Short,-5.9819,-9.42655,1,94.7756,97.0091
HCSG,Buy,2.79803,-3.05419,0,97.0091,96.2684
BSBK,Buy,3.93593,-5.6701,0,96.2684,94.9038
WIT,Buy,4.29636,0.354925,1,94.9038,94.988
AA,Buy,10.1485,-2.03866,0,94.988,94.5038
USLM,Buy,5.26518,-3.68288,0,94.5038,93.6337
BLDR,Short,-4.76591,0.737619,0,93.6337,93.4611
GLTO,Short,-3.0194,4.39024,0,93.4611,92.4353
PCYO,Buy,5.5978,30,1,92.4353,99.3679
NEXN,Short,-4.64353,-4.92228,1,99.3679,100.591
WAB,Short,-2.56378,-5.62018,1,100.591,102.004
FE,Buy,2.90185,-7.30397,0,102.004,100.141
AIRT,Buy,6.96905,9.81697,1,100.141,102.599
ASTE,Short,-1.94459,0.167189,0,102.599,102.556
IBOC,Short,-1.92692,7.75223,0,102.556,100.569
PM,Skip,0.149284,6.07519,0,100.569,100.569
DELL,Buy,1.11174,2.61429,1,100.569,101.226
SAR,Buy,2.93751,3.00261,1,101.226,101.986
IOBT,Short,-2.87151,8.40964,0,101.986,99.8417
LUNG,Short,-12.5379,16.8555,0,99.8417,95.6345
STNG,Skip,0.215638,9.77157,0,95.6345,95.6345
CISO,Buy,2.69415,-63.8989,0,95.6345,80.3571
PRM,Buy,14.7527,-1.2945,0,80.3571,80.0971
FSLR,Short,-5.61497,-5.77632,1,80.0971,81.2537
ACET,Short,-4.35116,23.7347,0,81.2537,76.4324
ORN,Buy,4.86545,6.48567,1,76.4324,77.6717
OMCL,Buy,2.17723,0.187354,1,77.6717,77.7081
HOFV,Short,-4.20884,-3.02013,1,77.7081,78.2948
RRC,Buy,10.0685,15.6291,1,78.2948,81.354
MLI,Short,-1.82986,1.43113,0,81.354,81.0629
ORMP,Skip,-0.236207,0,0,81.0629,81.0629
CELC,Short,-5.12959,12.1785,0,81.0629,78.5948
MTLS,Buy,3.5078,-7.62082,0,78.5948,77.0974
XMTR,Short,-2.192,11.7612,0,77.0974,74.8305
IVVD,Buy,5.63541,-5.26316,0,74.8305,73.8459
ELVA,Short,-3.43808,20.4819,0,73.8459,70.0647
CENX,Buy,0.575734,0.220588,1,70.0647,70.1033
ARWR,Buy,11.8502,9.32061,1,70.1033,71.7368
DRI,Buy,5.6115,2.61858,1,71.7368,72.2064
CRAI,Buy,7.30328,-2.46374,0,72.2064,71.7617
PRVA,Buy,1.16413,1.93424,1,71.7617,72.1087
SBR,Short,-4.62028,-4.32085,1,72.1087,72.8876
NOK,Short,-2.24648,2.33051,0,72.8876,72.463
CACI,Short,-3.37969,1.53838,0,72.463,72.1843
JOBY,Buy,7.14136,-4.63065,0,72.1843,71.3486
