Ticker,Decision,Predicted_EV,Actual_Return,Win,Wallet_Before,Wallet_After
FRGE,Short,-0.994274,-24.0688,1,100,106.017
CYD,Buy,1.11621,-1.01077,0,106.017,105.749
KRC,Skip,-0.337075,3.41019,0,105.749,105.749
MITQ,Short,-3.30965,-10.9984,1,105.749,108.657
RLMD,Buy,3.87758,18.1818,1,108.657,113.596
SDGR,Buy,4.58994,-0.611496,0,113.596,113.422
BWA,Short,-0.549781,-11.778,1,113.422,116.762
DLNG,Short,-5.84389,-5.94059,1,116.762,118.496
ZUMZ,Buy,1.42175,-0.943396,0,118.496,118.217
BHB,Buy,2.22875,-4.44444,0,118.217,116.903
WKSP,Short,-1.63744,-11.5183,1,116.903,120.269
ACHR,Skip,-0.310588,-9.3,0,120.269,120.269
SRG,Skip,0.0843974,-5.02535,0,120.269,120.269
BLD,Buy,3.57129,-5.32448,0,120.269,118.668
ASGN,Skip,0.426299,5.94262,0,118.668,118.668
CIA,Buy,4.26309,1.87891,1,118.668,119.226
SFBS,Buy,2.78055,-1.25494,0,119.226,118.852
WING,Buy,0.604972,15.0187,1,118.852,123.314
SOTK,Short,-2.32645,-5.44747,1,123.314,124.994
GM,Buy,2.71054,6.88836,1,124.994,127.146
WCC,Buy,9.31672,11.9476,1,127.146,130.944
IMMR,Buy,12.1676,33.0286,1,130.944,141.756
JG,Short,-0.937765,-8.02005,1,141.756,144.598
NEM,Short,-2.60363,-4.65225,1,144.598,146.28
FRO,Short,-1.36112,-1.76929,1,146.28,146.927
CGEM,Short,-4.2253,-18.4961,1,146.927,153.721
POOL,Buy,5.67036,6.52581,1,153.721,156.229
CNTX,Short,-14.8176,-13.025,1,156.229,161.316
INVX,Short,-3.40568,-2.02634,1,161.316,162.133
AVO,Buy,4.66961,16.5021,1,162.133,168.822
INVE,Short,-0.755817,-0.60241,1,168.822,169.077
TCMD,Buy,0.766615,2.02964,1,169.077,169.934
OBDC,Skip,0.157377,-2.62172,0,169.934,169.934
AMD,Short,-0.606021,-10.555,1,169.934,174.419
AVNW,Short,-1.04669,-7.62965,1,174.419,177.745
FN,Short,-1.90759,14.5875,0,177.745,171.263
TSLA,Buy,4.54819,-6.27253,0,171.263,168.578
NRSN,Short,-1.38561,20.6349,0,168.578,159.881
CCLD,Buy,4.63314,107.143,1,159.881,202.707
NFGC,Buy,8.50016,-20.1826,0,202.707,192.479
FLUX,Buy,4.07102,-4.4586,0,192.479,190.333
CGEM,Buy,5.79257,-14.4806,0,190.333,183.443
CRCT,Buy,6.21899,15.7032,1,183.443,190.645
RYI,Short,-3.81962,11.5966,0,190.645,185.117
RVP,Skip,-0.0824109,0.0614439,0,185.117,185.117
MRKR,Short,-1.40973,0,0,185.117,185.117
VS,Short,-16.2157,70.3125,0,185.117,152.577
MRSN,Buy,8.87798,103.297,1,152.577,191.979
CRIS,Buy,0.81999,4.13793,1,191.979,193.965
FNKO,Buy,2.07008,-18.9519,0,193.965,184.775
AMSC,Skip,0.1753,20.9302,0,184.775,184.775
CLH,Buy,2.98668,8.25023,1,184.775,188.586
AVDX,Buy,2.17073,0.307062,1,188.586,188.731
BGLC,Buy,13.9763,-12.3842,0,188.731,182.888
APPS,Buy,2.06534,-4.7619,0,182.888,180.71
ABSI,Skip,-0.151983,63.9216,0,180.71,180.71
ITGR,Short,-1.43012,2.75862,0,180.71,179.464
DX,Short,-1.30461,6.19469,0,179.464,176.685
TMHC,Buy,6.89905,10.375,1,176.685,181.268
ALEX,Short,-0.512713,7.30337,0,181.268,177.958
BLNK,Buy,6.49868,8.60977,1,177.958,181.788
BRCC,Buy,6.96116,53.5135,1,181.788,206.109
BURL,Buy,5.5874,3.34029,1,206.109,207.83
BUR,Skip,0.140454,0,0,207.83,207.83
AMAT,Buy,1.92104,10.4862,1,207.83,213.278
BLBD,Buy,3.75225,9.0708,1,213.278,218.115
PFIS,Skip,0.339958,-0.914286,0,218.115,218.115
FOXO,Skip,0.0270269,0.0505051,0,218.115,218.115
TISI,Buy,3.78276,7.1964,1,218.115,222.039
ARKO,Skip,0.139867,-0.0994036,0,222.039,222.039
SMBC,Short,-1.1412,7.14286,0,222.039,218.074
SHW,Buy,0.651586,-2.75676,0,218.074,216.571
CARM,Buy,5.57716,10.752,1,216.571,222.392
GFI,Buy,8.15701,1.40227,1,222.392,223.172
ADSK,Buy,6.08866,6.23967,1,223.172,226.653
OBK,Buy,2.12401,3.47138,1,226.653,228.62
SRZN,Buy,5.00943,-6.32911,0,228.62,225.003
ITRN,Short,-1.66346,5.82677,0,225.003,221.725
RBC,Short,-1.79614,-0.0928793,1,221.725,221.777
EQT,Buy,5.87262,-2.90737,0,221.777,220.165
CPA,Buy,0.511034,-6.82899,0,220.165,216.406
SEE,Skip,-0.387527,4.30133,0,216.406,216.406
CASY,Buy,2.46871,-8.58375,0,216.406,211.762
FSFG,Short,-0.501174,-0.907682,1,211.762,212.243
AXS,Buy,2.64168,9.85182,1,212.243,217.47
LOAN,Buy,5.11253,1.64319,1,217.47,218.364
SM,Buy,2.82362,-30.7387,0,218.364,201.583
SMLR,Buy,7.41123,-4.95868,0,201.583,199.084
SPCE,Buy,15.5125,-26.1617,0,199.084,186.063
TRTX,Short,-6.91558,19.2248,0,186.063,177.121
CNTY,Skip,0.0702923,-0.680272,0,177.121,177.121
ISPO,Short,-26.3391,-18.259,1,177.121,185.206
STAG,Skip,-0.337604,0.0938884,0,185.206,185.206
ADV,Short,-17.3733,-21.7687,1,185.206,195.285
O,Buy,2.73822,-2.70811,0,195.285,193.963
DOW,Short,-0.974078,-1.88394,1,193.963,194.876
LAND,Buy,3.19541,1.125,1,194.876,195.424
GB,Skip,0.292865,0,0,195.424,195.424
