Ticker,Decision,Predicted_EV,Actual_Return,Win,Wallet_Before,Wallet_After
PERF,Buy,16.6119,4.32432,1,100,101.081
HONE,Buy,12.8054,7.73261,1,101.081,103.035
EGBN,Buy,30.2589,17.5269,1,103.035,107.55
VSCO,Buy,2.37294,-47.904,0,107.55,94.6697
QRHC,Buy,29.6519,-23.4614,0,94.6697,89.117
LUNR,Buy,21.0969,-24.4131,0,89.117,83.6779
SNDA,Short,-3.31504,-36.25,1,83.6779,91.2612
CLFD,Buy,25.9656,67.7419,1,91.2612,106.717
PPG,Buy,2.12093,-10.2043,0,106.717,103.994
TRMK,Buy,13.5261,11.7966,1,103.994,107.061
PSMT,Buy,26.7217,-11.5633,0,107.061,103.966
WD,Skip,-0.465268,-44.9284,0,103.966,103.966
KD,Buy,2.92048,7.27456,1,103.966,105.857
PCVX,Buy,10.4829,-54.429,0,105.857,91.4528
STGW,Buy,2.22635,18.1658,1,91.4528,95.6061
HCWB,Buy,10.6211,-42.8418,0,95.6061,85.3663
LKFN,Buy,4.60604,-1.4547,0,85.3663,85.0558
TER,Buy,4.39885,23.9356,1,85.0558,90.1455
BGFV,Buy,2.43841,-61.4786,0,90.1455,76.2904
ONL,Buy,11.3996,-2.0515,0,76.2904,75.8992
WHLR,Buy,1.26426,-55.0878,0,75.8992,65.4464
TTC,Buy,5.6236,6.69062,1,65.4464,66.5411
VMD,Short,-6.95982,-24.7944,1,66.5411,70.6657
RMM,Buy,0.918165,-22.0478,0,70.6657,66.7706
MOFG,Buy,5.18957,16.2168,1,66.7706,69.4776
MCRI,Buy,5.00059,53.916,1,69.4776,78.8425
ARMK,Buy,2.96696,1.31775,1,78.8425,79.1023
CNP,Buy,11.7096,4.5794,1,79.1023,80.0079
JELD,Buy,27.9943,14.9226,1,80.0079,82.9927
SKIL,Buy,13.1937,-56.9369,0,82.9927,71.1793
RMNI,Buy,0.666447,-0.947631,0,71.1793,71.0107
DEA,Buy,2.1842,17.8042,1,71.0107,74.1714
ON,Buy,8.91399,15.4015,1,74.1714,77.0273
PFS,Buy,10.9142,19.1524,1,77.0273,80.7154
HTHT,Buy,4.15311,-20.7973,0,80.7154,76.5188
BBVA,Short,-2.21528,3.71287,0,76.5188,75.8085
IRD,Buy,12.9739,-34.3358,0,75.8085,69.3011
RIOT,Buy,3.65624,52.4904,1,69.3011,78.3952
